real-0,7;predict-0,7;real-0,8;predict-0,8;real-0,9;predict-0,9;real;predict
100;79;100;78;100;78;100;98
100;69;100;69;100;69;100;100
64;68;64;68;64;68;64;68
52;69;52;70;52;70;52;54
85;74;85;74;85;74;85;87
53;69;53;69;53;69;53;70
95;76;95;76;95;76;95;88
88;76;88;76;88;76;88;88
98;74;98;74;98;74;98;86
93;75;93;75;93;75;93;93
95;76;95;76;95;76;95;85
95;76;95;76;95;76;95;93
51;66;51;65;51;65;51;52
100;76;100;76;100;76;100;100
85;75;85;77;85;77;85;86
63;67;63;67;63;67;63;56
99;60;99;61;99;61;99;56
90;75;90;75;90;75;90;90
77;77;77;77;77;77;77;76
42;63;42;63;42;63;42;39
67;74;67;74;67;74;67;75
86;77;86;78;86;78;86;90
60;65;60;65;60;65;60;58
62;68;62;68;62;68;62;75
49;62;49;62;49;62;49;51
76;74;76;73;76;73;76;85
100;81;100;81;100;81;100;100
75;75;75;76;75;76;75;73
85;77;85;77;85;77;85;87
52;69;52;69;52;69;52;64
100;76;100;76;100;76;100;95
23;60;23;60;23;60;23;29
78;8;78;75;78;75;78;81
95;77;95;77;95;77;95;100
96;76;96;76;96;76;96;91
95;67;95;67;95;67;95;81
98;69;98;69;98;69;98;94
56;76;56;76;56;76;56;53
41;59;41;59;41;59;41;41
68;68;68;68;68;68;68;68
95;79;95;79;95;79;95;86
93;77;93;78;93;78;93;89
63;69;63;69;63;69;63;60
62;74;62;74;62;74;62;66
62;73;62;73;62;73;62;76
30;66;30;66;30;66;30;38
89;69;89;71;89;71;89;74
71;70;71;70;71;70;71;70
16;50;16;50;16;50;16;21
41;62;41;62;41;62;41;37
63;68;63;68;63;68;63;64
95;76;95;76;95;76;95;100
92;76;92;75;92;75;92;85
81;73;81;74;81;74;81;76
85;77;85;77;85;77;85;90
95;73;95;76;95;76;95;95
99;77;99;78;99;78;99;94
92;76;92;76;92;76;92;92
19;59;19;59;19;59;19;32
46;59;46;59;46;59;46;37
52;67;52;66;52;66;52;52
100;75;100;75;100;75;100;97
65;66;65;68;65;68;65;61
58;69;58;69;58;69;58;67
72;75;72;74;72;74;72;72
42;76;42;75;42;75;42;43
61;69;61;69;61;69;61;56
57;69;57;69;57;69;57;58
67;66;67;66;67;66;67;70
90;76;90;76;90;76;90;90
51;74;51;73;51;73;51;56
62;69;62;69;62;69;62;64
62;76;62;76;62;76;62;63
55;60;55;60;55;60;55;50
100;76;100;76;100;76;100;91
42;75;42;76;42;76;42;51
100;74;100;74;100;74;100;96
18;76;18;76;18;76;18;27
47;65;47;65;47;65;47;47
87;71;87;71;87;71;87;73
23;57;23;57;23;57;23;25
25;73;25;73;25;73;25;24
95;74;95;74;95;74;95;86
75;69;75;69;75;69;75;58
100;83;100;83;100;83;100;98
95;72;95;72;95;72;95;79
86;73;86;73;86;73;86;60
68;73;68;73;68;73;68;72
50;73;50;73;50;73;50;65
95;76;95;76;95;76;95;85
86;75;86;77;86;77;86;93
92;75;92;75;92;75;92;89
34;68;34;68;34;68;34;40
26;61;26;61;26;61;26;30
83;76;83;76;83;76;83;82
100;75;100;75;100;75;100;96
100;74;100;74;100;74;100;88
100;79;100;79;100;79;100;101
35;60;35;60;35;60;35;40
100;76;100;76;100;76;100;97
55;68;55;68;55;68;55;77
93;76;93;76;93;76;93;92
58;72;58;72;58;72;58;56
89;76;89;76;89;76;89;88
91;79;91;79;91;79;91;92
89;65;89;65;89;65;89;82
100;77;100;77;100;77;100;96
68;74;68;73;68;73;68;71
84;78;84;78;84;78;84;80
91;73;91;73;91;73;91;87
61;69;61;68;61;68;61;63
63;69;63;69;63;69;63;64
83;76;83;76;83;76;83;81
35;57;35;57;35;57;35;39
46;68;46;68;46;68;46;55
74;74;74;74;74;74;74;81
39;65;39;65;39;65;39;39
42;73;42;73;42;73;42;47
76;69;76;69;76;69;76;65
61;63;61;63;61;63;61;55
90;70;90;70;90;70;90;84
89;74;89;74;89;74;89;84
41;76;41;76;41;76;41;41
86;75;86;75;86;75;86;90
18;69;18;69;18;69;18;27
90;74;90;74;90;74;90;88
98;75;98;75;98;75;98;97
69;72;69;72;69;72;69;65
81;69;81;69;81;69;81;79
42;69;42;69;42;69;42;47
61;67;61;67;61;67;61;61
51;68;51;68;51;68;51;55
80;71;80;71;80;71;80;75
33;59;33;59;33;59;33;41
100;76;100;76;100;76;100;99
43;63;43;63;43;63;43;46
81;67;81;67;81;67;81;63
49;69;49;70;49;69;49;48
64;67;64;67;64;67;64;62
85;75;85;75;85;75;85;83
39;61;39;61;39;61;39;47
100;73;100;73;100;73;100;96
60;67;60;67;60;67;60;60
19;51;19;51;19;51;19;19
90;74;90;74;90;74;90;90
37;73;37;73;37;73;37;35
100;80;100;80;100;80;100;100
96;79;96;79;96;79;96;97
96;8;96;75;96;75;96;92
85;79;85;79;85;79;85;85
100;69;100;69;100;69;100;82
52;69;52;69;52;69;52;53
61;64;61;64;61;64;61;59
98;8;98;76;98;76;98;95
32;69;32;69;32;69;32;51
67;76;67;76;67;76;67;66
55;75;55;75;55;75;55;58
98;76;98;76;98;76;98;100
70;76;70;75;70;75;70;66
86;79;86;79;86;79;86;86
61;68;61;68;61;68;61;66
56;67;56;67;56;67;56;60
95;75;95;75;95;75;95;95
63;76;63;75;63;75;63;65
100;67;100;67;100;67;100;72
100;75;100;76;100;76;100;90
100;77;100;77;100;77;100;75
